d4965bb, Shorzinator, Mon Sep 25 20:38:28 2023 -0500, Add SHAP analysis for G->E outcomes
ba2c189, Shorzinator, Mon Sep 25 20:37:45 2023 -0500, Creating a more modular cascading approach
5df4ebd, Shorzinator, Sun Sep 24 16:18:13 2023 -0500, Updating preprocessing functions for cascading approach
b520bd9, Shorzinator, Sun Sep 24 16:17:41 2023 -0500, Adding results from cascading model
efbc578, Shorzinator, Sun Sep 24 16:17:20 2023 -0500, Removing list raveling from train_model
6810bb9, Shorzinator, Sun Sep 24 16:16:50 2023 -0500, Updating cascading_main.py
1fa5f95, Shorzinator, Wed Sep 20 23:45:43 2023 -0500, Updating preprocessing functions
69403a0, Shorzinator, Wed Sep 20 23:44:40 2023 -0500, Refactoring function signatures
3d79a93, Shorzinator, Wed Sep 20 23:44:27 2023 -0500, Refactoring function signatures
94403e6, Shorzinator, Wed Sep 20 23:43:41 2023 -0500, Updating main cascading model script
71b82be, Shorzinator, Wed Sep 20 23:26:18 2023 -0500, Updating config file
905f3ab, Shorzinator, Wed Sep 20 23:25:54 2023 -0500, Partial results from cascading model
4520fde, Shorzinator, Mon Sep 18 23:20:26 2023 -0500, Adding functionality for preprocessing
5841e9d, Shorzinator, Mon Sep 18 23:19:48 2023 -0500, Working on Cascading approach
8a09560, Shorzinator, Wed Sep 13 23:19:37 2023 -0500, Working on Cascading approach
0240adb, Shorzinator, Mon Sep 11 13:25:28 2023 -0500, troubleshooting MRF approach
6dc102d, Shorzinator, Mon Sep 11 01:25:22 2023 -0500, troubleshooting MRF approach
26e756c, Shorzinator, Sun Sep 10 23:25:49 2023 -0500, Updating preprocessing files
a97387c, Shorzinator, Sun Sep 10 23:25:35 2023 -0500, Updating modelling files
9e691fa, Shorzinator, Sat Sep 9 19:17:21 2023 -0500, troubleshooting
fb67c80, Shorzinator, Sat Sep 9 19:17:05 2023 -0500, experimenting with markov random field
cb87e91, Shorzinator, Sat Sep 9 19:16:32 2023 -0500, troubleshooting
9d65c69, Shorzinator, Sat Sep 9 19:16:14 2023 -0500, results from ovr approach
bc7a5b9, Shorzinator, Sat Sep 9 19:15:58 2023 -0500, Updating utility files
73d01f4, Shorzinator, Wed Sep 6 12:06:20 2023 -0500, Updating utility functions
fde2ca8, Shorzinator, Wed Sep 6 12:06:06 2023 -0500, Updating modeling scripts
19df4bb, Shorzinator, Wed Sep 6 12:05:37 2023 -0500, Uploading new results
a4fbbc2, Shorzinator, Wed Sep 6 09:42:37 2023 -0500, updating directory tree
8a42f87, Shorzinator, Wed Sep 6 09:30:37 2023 -0500, updating resampling approach
3437442, Shorzinator, Wed Sep 6 09:30:14 2023 -0500, results from random forest and log reg ovr
0e43863, Shorzinator, Thu Aug 31 17:29:53 2023 -0500, Results from logistic regression ovr
09d53d2, Shorzinator, Thu Aug 31 17:29:35 2023 -0500, Improving modularity of the project
c074a05, Shorzinator, Thu Aug 31 17:29:07 2023 -0500, Deleting unnecessary files
92bf6a9, Shorzinator, Thu Aug 31 17:26:48 2023 -0500, Adding results from Random Forest Classification
d9fce36, Shorzinator, Thu Aug 31 17:26:04 2023 -0500, Experimenting with Random Forest
a706c9c, Shorzinator, Mon Aug 28 18:31:58 2023 -0500, Adding results from Statistically controlled data
958c25a, Shorzinator, Mon Aug 28 18:29:49 2023 -0500, Deleting unnecessary files
b43da77, Shorzinator, Mon Aug 28 18:29:21 2023 -0500, Implementing Statistical Control
63757d6, Shorzinator, Sat Aug 26 17:19:34 2023 -0500, Correcting the dimensions of y_train
15a3f48, Shorzinator, Sat Aug 26 17:16:04 2023 -0500, Uploading results from Drop column analysis
3c6ff57, Shorzinator, Sat Aug 26 17:15:47 2023 -0500, Troubleshooting
ba1e82e, Shorzinator, Sat Aug 26 17:15:28 2023 -0500, Drop column analysis revisited
77c2eb3, Shorzinator, Sat Aug 26 16:53:34 2023 -0500, troubleshooting
012fa93, Shorzinator, Thu Aug 24 23:01:43 2023 -0500, saving scripts from comparative analysis
3fd7469, Shorzinator, Thu Aug 24 23:00:38 2023 -0500, saving results from comparing SUT results
f04d0e9, Shorzinator, Thu Aug 24 19:53:22 2023 -0500, saving results from binary logistic regression for SUT
1251d5e, Shorzinator, Thu Aug 24 19:53:03 2023 -0500, Performing binary logistic regression for SUT
4bccb8c, Shorzinator, Thu Aug 24 18:31:36 2023 -0500, Increasing modularity
cd2ed68, Shorzinator, Wed Aug 23 13:42:18 2023 -0500, Drop column analysis
ae418f7, Shorzinator, Wed Aug 23 13:40:48 2023 -0500, Drop column analysis
0327718, Shorzinator, Wed Aug 23 13:37:36 2023 -0500, Residual files
16ae41f, Shorzinator, Wed Aug 23 13:37:19 2023 -0500, Basic modelling
a369c5c, Shorzinator, Wed Aug 23 13:36:37 2023 -0500, Uploading results from drop-column analysis
b69a85d, Shorzinator, Wed Aug 23 13:24:42 2023 -0500, Troubleshooting
796b9fa, Shorzinator, Wed Aug 23 13:21:23 2023 -0500, Revisiting drop-column analysis
9c87435, Shorzinator, Wed Aug 23 10:51:49 2023 -0500, analysing difference in performance by the use of interaction terms
6af9ea8, Shorzinator, Tue Aug 22 19:36:08 2023 -0500, deleting unnecessary files
9b89e33, Shorzinator, Tue Aug 22 19:34:12 2023 -0500, Increasing modularity
fcafd6c, Shorzinator, Tue Aug 22 14:07:02 2023 -0500, Updating scripts to increase modularity
db27d6a, Shorzinator, Tue Aug 22 10:02:06 2023 -0500, Saving script for cluster analysis
7e2479d, Shorzinator, Tue Aug 22 10:01:36 2023 -0500, Saving script for shapley analysis
b695daf, Shorzinator, Tue Aug 22 10:00:27 2023 -0500, Saving script for drop columns analysis
0156893, Shorzinator, Tue Aug 22 09:58:35 2023 -0500, Saving results from cluster analysis
f5eae16, Shorzinator, Tue Aug 22 09:58:09 2023 -0500, Saving results from Shapley analysis
58850c1, Shorzinator, Sun Aug 20 15:38:18 2023 -0500, Troubleshooting
493f30b, Shorzinator, Sun Aug 20 15:38:00 2023 -0500, Updated directory_tree.txt
8446fef, Shorzinator, Sun Aug 20 15:37:15 2023 -0500, Adding files from Shapley Analysis
d197bb5, Shorzinator, Sun Aug 20 15:36:38 2023 -0500, Performing Shapley Analysis
ef25d5f, Shorzinator, Sun Aug 20 09:11:48 2023 -0500, adding files realted to cluster analysis
d712b4a, Shorzinator, Sat Aug 19 22:36:01 2023 -0500, experimenting with cluster analysis
99c0c6f, Shorzinator, Sat Aug 19 10:08:12 2023 -0500, experimenting with cluster analysis
7ead17c, Shorzinator, Fri Aug 18 23:26:58 2023 -0500, performing paired t-test
afb6fe4, Shorzinator, Fri Aug 18 23:11:55 2023 -0500, Running statistical test to understand bump in performance
704426f, Shorzinator, Fri Aug 18 22:19:46 2023 -0500, Troubleshooting
af73e1e, Shorzinator, Fri Aug 18 22:19:01 2023 -0500, Comparing results
2e1f49d, Shorzinator, Fri Aug 18 22:18:04 2023 -0500, Deleting unnecessary files
158388f, Shorzinator, Fri Aug 18 20:54:14 2023 -0500, 1. Adding results from analysing performance with SUT. 2. Changing file names. 3. Deleting unnecessary files.
313edf4, Shorzinator, Fri Aug 18 17:47:09 2023 -0500, Adding results from analysing performance with SUT
9778a69, Shorzinator, Fri Aug 18 17:27:22 2023 -0500, Updating files to include SUT as feature
db7b4ef, Shorzinator, Fri Aug 18 17:20:59 2023 -0500, Updating files to include SUT as feature
997eb5c, Shorzinator, Fri Aug 18 17:18:33 2023 -0500, Updating file for new dataset
e3dfed8, Shorzinator, Tue Aug 15 15:18:36 2023 -0500, Uploading updated directory structure
b39d70c, Shorzinator, Tue Aug 15 15:18:09 2023 -0500, Adding scripts from drop column analysis
4754991, Shorzinator, Tue Aug 15 15:17:40 2023 -0500, Adding results from drop column analysis
3499846, Shorzinator, Tue Aug 15 14:33:51 2023 -0500, Automating directory tree updates
301aa8f, Shorzinator, Tue Aug 15 14:33:40 2023 -0500, Automating directory tree updates
dfcab32, Shorzinator, Tue Aug 15 12:11:15 2023 -0500, Performing drop-column analysis
8c1ffc7, Shorzinator, Tue Aug 15 10:17:14 2023 -0500, Saving balanced data
c4d5918, Shorzinator, Tue Aug 15 10:02:53 2023 -0500, Making changes to remove file-saving lines
0040ab8, Shorzinator, Tue Aug 15 10:02:18 2023 -0500, Making changes to remove file-saving lines
b125eaa, Shorzinator, Tue Aug 15 10:01:39 2023 -0500, Adding original preprocessed data for review
aeb5e21, Shorzinator, Tue Aug 15 09:44:10 2023 -0500, 1. Adding synthetic data for review 2. Saving outputs
a40c907, Shorzinator, Mon Aug 14 21:25:07 2023 -0500, Adding synthetic data for review
4ce1858, Shorzinator, Mon Aug 14 21:23:38 2023 -0500, Adapting to new dataset
bc4a9d8, Shorzinator, Mon Aug 14 19:07:46 2023 -0500, Adapting to new dataset
09cb825, Shorzinator, Mon Aug 14 16:59:45 2023 -0500, Adapting to new dataset
671ae05, Shorzinator, Mon Aug 14 16:21:05 2023 -0500, Adding function to load new dataset
692cbb4, Shorzinator, Mon Aug 14 16:20:40 2023 -0500, Adapting for use of dataset without column "Race"
18e04f6, Shorzinator, Mon Aug 14 16:12:55 2023 -0500, Adding new dataset
c544797, Shorzinator, Mon Aug 14 16:05:32 2023 -0500, Merge branch 'main' of https://github.com/Shorzinator/GxE-Study
c3814bd, Shorzinator, Mon Aug 14 16:04:46 2023 -0500, Recommiting files
e771250, Shorzinator, Sun Aug 13 22:08:21 2023 -0500, removing pkl files
cb00ee7, Shorzinator, Sun Aug 13 22:07:03 2023 -0500, Evaluation
263e025, Shorzinator, Sun Aug 13 21:07:42 2023 -0500, Troubleshooting
64c35f5, Shorzinator, Sun Aug 13 20:59:38 2023 -0500, Troubleshooting
3350184, Shorzinator, Mon Aug 14 15:23:57 2023 -0500, 1. Adding custom metric 2. Adding evaluation scripts
19c6193, Shorzinator, Sun Aug 13 10:10:26 2023 -0500, 1. Adding custom metric 2. Adding evaluation scripts
de4c41f, Shorzinator, Sat Aug 12 15:22:26 2023 -0500, 1. Adding documentation 2. Implementing RFC
79b2e79, Shorzinator, Sat Aug 12 12:37:32 2023 -0500, Troubleshooting binary logreg code
75d4e95, Shorzinator, Sat Aug 12 09:49:37 2023 -0500, Updating files for ovr_LogReg
4cddd1f, Shorzinator, Fri Aug 11 17:55:39 2023 -0500, Updating files for ovr LogReg
d6593ac, Shorzinator, Fri Aug 11 15:36:56 2023 -0500, Adding ovr method for Logistic Regression
14da316, Shorzinator, Fri Aug 11 10:10:14 2023 -0500, Increasing modularity
04fb30e, Shorzinator, Thu Aug 10 16:12:59 2023 -0500, Adding results with IT
aed7a98, Shorzinator, Thu Aug 10 16:12:44 2023 -0500, Adding results with IT
0543566, Shorzinator, Thu Aug 10 12:36:21 2023 -0500, Organizing project
f9298e2, Shorzinator, Thu Aug 10 10:37:24 2023 -0500, Organizing project
1cebea4, Shorzinator, Thu Aug 10 09:31:36 2023 -0500, Organizing project
860be8f, Shorzinator, Wed Aug 9 21:26:42 2023 -0500, Adding Interaction terms
10e9701, Shorzinator, Wed Aug 9 17:55:59 2023 -0500, Renaming file to MultLogReg_main.py
42b40ec, Shorzinator, Wed Aug 9 17:37:44 2023 -0500, Last run before new model
9cfb0c2, Shorzinator, Wed Aug 9 17:20:42 2023 -0500, adding files
e5ea7ac, Shorzinator, Wed Aug 9 16:34:44 2023 -0500, adding files
9044690, Shorzinator, Wed Aug 9 16:32:30 2023 -0500, Tuning parameters and saving observations
8deeb76, Shorzinator, Wed Aug 9 15:12:22 2023 -0500, introducing progress bars and tuning parameters
5eff548, Shorzinator, Wed Aug 9 14:33:02 2023 -0500, Hyper-parameter tuning
1234d3a, Shorzinator, Wed Aug 9 14:31:11 2023 -0500, Hyper-parameter tuning
6858ffb, Shorzinator, Wed Aug 9 14:21:22 2023 -0500, renaming files
a59e5d6, Shorzinator, Wed Aug 9 14:01:32 2023 -0500, Introducing GridSearchCV
9a5f7bf, Shorzinator, Wed Aug 9 12:13:52 2023 -0500, removing inconsistencies amongst files
a1378a7, Shorzinator, Wed Aug 9 09:30:24 2023 -0500, removing inconsistencies amongst files
cf4708e, Shorzinator, Tue Aug 8 23:08:36 2023 -0500, removing inconsistencies amongst files
39167b8, Shorzinator, Tue Aug 8 14:21:27 2023 -0500, removing inconsistencies amongst files
181231c, Shorzinator, Tue Aug 8 14:21:27 2023 -0500, Phase 5 prior with just EDA
6ec83ec, Shorzinator, Tue Aug 8 14:18:12 2023 -0500, Phase 5 prior with just EDA
851e5fb, Shourya Maheshwari, Mon Aug 7 20:21:52 2023 -0500, Adding analysis files and classification report
965713c, Shourya Maheshwari, Mon Aug 7 20:06:04 2023 -0500, upload output files
db3c41a, Shourya Maheshwari, Mon Aug 7 20:05:06 2023 -0500, Rename Phase 4/Without_Interaction_Terms/AST_xgb.py to Phase 4/Without_Interaction_Terms/AST_xgb/AST_xgb.py
4cf034e, Shourya Maheshwari, Mon Aug 7 20:04:47 2023 -0500, upload output files
3d86ee8, Shourya Maheshwari, Mon Aug 7 20:02:13 2023 -0500, Rename Phase 4/Without_Interaction_Terms/AST_rf.py to Phase 4/Without_Interaction_Terms/AST_rf/AST_rf.py
9494e4e, Shourya Maheshwari, Mon Aug 7 20:01:37 2023 -0500, Uploading output files
40e0abf, Shourya Maheshwari, Mon Aug 7 19:59:31 2023 -0500, Rename Phase 4/Without_Interaction_Terms/AST_lr.py to Phase 4/Without_Interaction_Terms/AST_lr/AST_lr.py
524bcf4, Shourya Maheshwari, Mon Aug 7 19:59:06 2023 -0500, uploading output files
b4a4004, Shourya Maheshwari, Mon Aug 7 19:56:24 2023 -0500, Rename Phase 4/Without_Interaction_Terms/AST_lgbm.py to Phase 4/Without_Interaction_Terms/AST_lgbm/AST_lgbm.py
80b3f4c, Shourya Maheshwari, Mon Aug 7 19:55:24 2023 -0500, Adding output files
42df01e, Shourya Maheshwari, Mon Aug 7 19:51:45 2023 -0500, Rename Phase 4/Without_Interaction_Terms/AST_gb.py to Phase 4/Without_Interaction_Terms/AST_gb/AST_gb.py
63e16ca, Shourya Maheshwari, Mon Aug 7 19:03:01 2023 -0500, Update Progress.md
f945c42, Shourya Maheshwari, Mon Aug 7 19:01:00 2023 -0500, Create AST_gb.py
aaf9de3, Shourya Maheshwari, Mon Aug 7 19:00:29 2023 -0500, Create AST_lgbm.py
c8776f9, Shourya Maheshwari, Mon Aug 7 18:59:32 2023 -0500, Create AST_rf.py
e836d3c, Shourya Maheshwari, Mon Aug 7 18:59:03 2023 -0500, Create AST_xgb.py
a28331f, Shourya Maheshwari, Mon Aug 7 18:58:11 2023 -0500, Create AST_lr.py
7b80533, Shourya Maheshwari, Tue Aug 1 13:58:32 2023 -0500, Create config_compare.py
751cd39, Shourya Maheshwari, Tue Aug 1 13:57:31 2023 -0500, Create AST_KNN_SMOTE_oneIT.py
e934e0a, Shourya Maheshwari, Tue Aug 1 13:56:13 2023 -0500, Create AST_KNN_SMOTE_allIT.py
f07ebff, Shourya Maheshwari, Tue Aug 1 13:55:39 2023 -0500, Create AST_KNN_SMOTE_noIT.py
035cf75, Shourya Maheshwari, Tue Aug 1 13:53:44 2023 -0500, Adding Phase 3 summary
b8d3089, Shourya Maheshwari, Fri Jul 21 16:30:53 2023 -0500, Update Progress.md
f6bd0ea, Shourya Maheshwari, Fri Jul 21 16:29:42 2023 -0500, Update Progress.md
106b5cd, Shourya Maheshwari, Mon Jul 17 08:24:03 2023 -0500, delete phase 1 directory
79cc167, Shourya Maheshwari, Mon Jul 17 08:23:44 2023 -0500, Create AST_Analysis_Summary.md
e1aff9c, Shourya Maheshwari, Mon Jul 17 08:19:14 2023 -0500, Rename AST_Analysis_Summary.md to AST_Analysis_Summary.md
014dcba, Shourya Maheshwari, Mon Jul 17 08:18:26 2023 -0500, Rename ASB_analysis/ASB_Analysis_Summary.md to ASB_analysis/Phase1/AST_Analysis_Summary.md
ff34870, Shourya Maheshwari, Sat Jul 15 09:55:07 2023 -0500, Update Progress.md
f60b9d4, Shourya Maheshwari, Thu Jul 13 17:51:08 2023 -0500, Update Progress.md
b8ede09, Shourya Maheshwari, Thu Jul 13 13:07:52 2023 -0500, Update Progress.md
742f5cc, Shourya Maheshwari, Thu Jul 13 12:35:52 2023 -0500, Update Progress.md
6e23299, Shourya Maheshwari, Thu Jul 13 12:29:59 2023 -0500, Create Progress.md
8d63a90, Shorzinator, Wed Jul 5 12:48:03 2023 -0500, Results of evaluation
83a8cd6, Shorzinator, Wed Jul 5 12:47:34 2023 -0500, Results of evaluation
021e5f4, Shorzinator, Wed Jul 5 12:46:38 2023 -0500, Update SUB_Analysis_Summary.md
e7cc0f6, Shorzinator, Wed Jul 5 12:44:45 2023 -0500, Create SUT_Analysis_Summary.md
1543382, Shorzinator, Wed Jul 5 12:39:25 2023 -0500, Update ASB_analysis.py
ba83d53, Shorzinator, Wed Jul 5 12:37:24 2023 -0500, Update feature_analysis_Summary.md
063e105, Shorzinator, Wed Jul 5 12:35:12 2023 -0500, Create feature_analysis_Summary.md
8e32184, Shorzinator, Wed Jul 5 12:32:38 2023 -0500, Create feature_analysis.py
8e60407, Shorzinator, Wed Jul 5 12:31:52 2023 -0500, Delete ASB_analysis/Feature_Analysis directory
dda5b5c, Shorzinator, Wed Jul 5 12:31:15 2023 -0500, Create feature_analysis.py
5827087, Shorzinator, Mon Jul 3 17:36:01 2023 -0500, Update ASB_Analysis_Summary.md
62232f0, Shorzinator, Mon Jul 3 12:20:39 2023 -0500, Update ASB_analysis.py
45ef527, Shorzinator, Mon Jul 3 12:19:04 2023 -0500, Create SUB_Analysis.py
6b0271d, Shorzinator, Mon Jul 3 12:18:24 2023 -0500, Completing ASB_Analysis_Summary.md
a9a2291, Shorzinator, Mon Jul 3 11:36:46 2023 -0500, Create ASB_Analysis_Summary.md
3762442, Shorzinator, Mon Jul 3 10:42:54 2023 -0500, Create ASB_analysis.py
c60e5a7, Shorzinator, Thu Jun 29 12:21:14 2023 -0500, Updating MNLogit implementation
934bf17, Shorzinator, Fri Jun 23 13:45:58 2023 -0500, Rename main.py to EDA.py
946ede5, Shorzinator, Fri Jun 23 13:27:24 2023 -0500, Explored model selection with ADASYN
aa8d28e, Shorzinator, Fri Jun 23 13:21:23 2023 -0500, Revisiting LightGBM
7994eda, Shorzinator, Fri Jun 23 13:14:05 2023 -0500, Continuing with Ensemble model
ad3ac65, Shorzinator, Fri Jun 23 13:11:34 2023 -0500, Shifting to ensemble model
49f48ad, Shorzinator, Thu Jun 22 13:46:06 2023 -0500, Explored feature importance
f77cb48, Shorzinator, Thu Jun 22 13:33:02 2023 -0500, Continuing the model selection process
924e051, Shorzinator, Thu Jun 22 10:22:27 2023 -0500, Implemented SMOTE and SMOTE-ENN
c36b468, Shorzinator, Thu Jun 22 10:10:02 2023 -0500, Implemented tuning on Random Forest
5f6b91e, Shorzinator, Thu Jun 22 09:55:42 2023 -0500, Implemented Random Forest
12da6b1, Shorzinator, Thu Jun 22 09:44:21 2023 -0500, Interpreting the MNLogit Results
84e37c4, Shorzinator, Thu Jun 22 09:36:46 2023 -0500, Create main.py
ba4e57c, Shorzinator, Thu Jun 22 09:27:56 2023 -0500, Initial commit
